o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
5,B1,5,B1,0.0,0.0,"LINESTRING (-109.5697333 37.2838178,-109.5697333 37.2838178)"
5,B1,6,B2,0.9413120495803019,0.8953771289537713,"LINESTRING (-109.5697333 37.2838178,-109.560079 37.2852198)"
5,B1,7,B3,1.6789136483840095,0.8953771289537713,"LINESTRING (-109.5697333 37.2838178,-109.5523617 37.2848091)"
5,B1,8,B4,2.75286890507265,0.8953771289537713,"LINESTRING (-109.5697333 37.2838178,-109.5412776 37.2858769)"
5,B1,9,C1,0.3691093413707063,0.8953771289537713,"LINESTRING (-109.5697333 37.2838178,-109.5724947 37.2811705)"
5,B1,10,C2,0.5354344587674827,0.8953771289537713,"LINESTRING (-109.5697333 37.2838178,-109.5646803 37.2815244)"
5,B1,11,C3,1.5393306627693477,0.8953771289537713,"LINESTRING (-109.5697333 37.2838178,-109.553796 37.2831048)"
5,B1,12,C4,2.816721912660413,0.8953771289537713,"LINESTRING (-109.5697333 37.2838178,-109.5405438 37.2834472)"
5,B1,13,Gate1,1.8536222997678424,0.0,"LINESTRING (-109.5697333 37.2838178,-109.5886621 37.28054)"
5,B1,14,Gate2,1.8444146463115374,0.0,"LINESTRING (-109.5697333 37.2838178,-109.5886621 37.28648)"
5,B1,15,Gate3,2.006194996858506,0.0,"LINESTRING (-109.5697333 37.2838178,-109.5886621 37.29242)"
5,B1,16,Gate4,1.5280028394310465,0.0,"LINESTRING (-109.5697333 37.2838178,-109.5759921 37.2983644)"
5,B1,17,Gate5,1.5338741959078257,0.0,"LINESTRING (-109.5697333 37.2838178,-109.5633221 37.2983644)"
5,B1,18,Gate6,2.315145418549941,0.0,"LINESTRING (-109.5697333 37.2838178,-109.5506521 37.2983644)"
5,B1,19,Gate7,3.3698927961888563,0.8953771289537713,"LINESTRING (-109.5697333 37.2838178,-109.5379821 37.2983644)"
5,B1,20,Gate8,4.365634658047158,0.0,"LINESTRING (-109.5697333 37.2838178,-109.525315 37.2924244)"
5,B1,21,Gate9,4.293637888853344,0.8953771289537713,"LINESTRING (-109.5697333 37.2838178,-109.525315 37.2864844)"
5,B1,22,Gate10,4.297544635511474,0.0,"LINESTRING (-109.5697333 37.2838178,-109.525315 37.2805444)"
5,B1,23,Gate11,3.1899006058081905,0.0,"LINESTRING (-109.5697333 37.2838178,-109.537985 37.2746)"
5,B1,24,Gate12,2.0444732584079404,0.0,"LINESTRING (-109.5697333 37.2838178,-109.550655 37.2746)"
5,B1,25,Gate13,1.083248273650486,0.0,"LINESTRING (-109.5697333 37.2838178,-109.563325 37.2746)"
5,B1,26,Gate14,1.0752365455966904,0.0,"LINESTRING (-109.5697333 37.2838178,-109.575995 37.2746)"
6,B2,5,B1,0.9413120495803019,0.8953771289537713,"LINESTRING (-109.560079 37.2852198,-109.5697333 37.2838178)"
6,B2,6,B2,0.0,0.0,"LINESTRING (-109.560079 37.2852198,-109.560079 37.2852198)"
6,B2,7,B3,0.7456999566999829,43.873479318734795,"LINESTRING (-109.560079 37.2852198,-109.5523617 37.2848091)"
6,B2,8,B4,1.8152568683808337,2.686131386861314,"LINESTRING (-109.560079 37.2852198,-109.5412776 37.2858769)"
6,B2,9,C1,1.2600905478236732,31.338199513381994,"LINESTRING (-109.560079 37.2852198,-109.5724947 37.2811705)"
6,B2,10,C2,0.5694333092281683,65.36253041362531,"LINESTRING (-109.560079 37.2852198,-109.5646803 37.2815244)"
6,B2,11,C3,0.63967834135837,6.267639902676399,"LINESTRING (-109.560079 37.2852198,-109.553796 37.2831048)"
6,B2,12,C4,1.8926980576442807,2.686131386861314,"LINESTRING (-109.560079 37.2852198,-109.5405438 37.2834472)"
6,B2,13,Gate1,2.794702450521622,0.0,"LINESTRING (-109.560079 37.2852198,-109.5886621 37.28054)"
6,B2,14,Gate2,2.7606600392550744,0.0,"LINESTRING (-109.560079 37.2852198,-109.5886621 37.28648)"
6,B2,15,Gate3,2.844139437209048,0.0,"LINESTRING (-109.560079 37.2852198,-109.5886621 37.29242)"
6,B2,16,Gate4,1.9915447361001422,0.0,"LINESTRING (-109.560079 37.2852198,-109.5759921 37.2983644)"
6,B2,17,Gate5,1.3063526897664954,0.0,"LINESTRING (-109.560079 37.2852198,-109.5633221 37.2983644)"
6,B2,18,Gate6,1.5607738954876218,0.0,"LINESTRING (-109.560079 37.2852198,-109.5506521 37.2983644)"
6,B2,19,Gate7,2.480851435337837,1.7907542579075426,"LINESTRING (-109.560079 37.2852198,-109.5379821 37.2983644)"
6,B2,20,Gate8,3.425657735089056,0.0,"LINESTRING (-109.560079 37.2852198,-109.525315 37.2924244)"
6,B2,21,Gate9,3.3565993152257443,1.7907542579075426,"LINESTRING (-109.560079 37.2852198,-109.525315 37.2864844)"
6,B2,22,Gate10,3.3845812486235274,0.0,"LINESTRING (-109.560079 37.2852198,-109.525315 37.2805444)"
6,B2,23,Gate11,2.365337021133497,0.0,"LINESTRING (-109.560079 37.2852198,-109.537985 37.2746)"
6,B2,24,Gate12,1.3699980694676073,0.0,"LINESTRING (-109.560079 37.2852198,-109.550655 37.2746)"
6,B2,25,Gate13,1.0715041230681308,0.0,"LINESTRING (-109.560079 37.2852198,-109.563325 37.2746)"
6,B2,26,Gate14,1.84621189189175,0.0,"LINESTRING (-109.560079 37.2852198,-109.575995 37.2746)"
7,B3,5,B1,1.6789136483840095,0.8953771289537713,"LINESTRING (-109.5523617 37.2848091,-109.5697333 37.2838178)"
7,B3,6,B2,0.7456999566999829,54.61800486618005,"LINESTRING (-109.5523617 37.2848091,-109.560079 37.2852198)"
7,B3,7,B3,0.0,0.0,"LINESTRING (-109.5523617 37.2848091,-109.5523617 37.2848091)"
7,B3,8,B4,1.074454435257828,2.686131386861314,"LINESTRING (-109.5523617 37.2848091,-109.5412776 37.2858769)"
7,B3,9,C1,1.9741018298626927,33.12895377128954,"LINESTRING (-109.5523617 37.2848091,-109.5724947 37.2811705)"
7,B3,10,C2,1.23014992492544,68.9440389294404,"LINESTRING (-109.5523617 37.2848091,-109.5646803 37.2815244)"
7,B3,11,C3,0.2149316431941462,8.058394160583942,"LINESTRING (-109.5523617 37.2848091,-109.553796 37.2831048)"
7,B3,12,C4,1.1478546066745685,3.5815085158150852,"LINESTRING (-109.5523617 37.2848091,-109.5405438 37.2834472)"
7,B3,13,Gate1,3.5267659034816963,0.0,"LINESTRING (-109.5523617 37.2848091,-109.5886621 37.28054)"
7,B3,14,Gate2,3.5063356214609804,0.0,"LINESTRING (-109.5523617 37.2848091,-109.5886621 37.28648)"
7,B3,15,Gate3,3.5787853334966817,0.0,"LINESTRING (-109.5523617 37.2848091,-109.5886621 37.29242)"
7,B3,16,Gate4,2.6286093884433006,0.0,"LINESTRING (-109.5523617 37.2848091,-109.5759921 37.2983644)"
7,B3,17,Gate5,1.682020347304468,0.0,"LINESTRING (-109.5523617 37.2848091,-109.5633221 37.2983644)"
7,B3,18,Gate6,1.3183127356920223,0.0,"LINESTRING (-109.5523617 37.2848091,-109.5506521 37.2983644)"
7,B3,19,Gate7,1.9067919073753143,1.7907542579075426,"LINESTRING (-109.5523617 37.2848091,-109.5379821 37.2983644)"
7,B3,20,Gate8,2.711207796829904,0.0,"LINESTRING (-109.5523617 37.2848091,-109.525315 37.2924244)"
7,B3,21,Gate9,2.614736330036508,1.7907542579075426,"LINESTRING (-109.5523617 37.2848091,-109.525315 37.2864844)"
7,B3,22,Gate10,2.64197798139879,0.0,"LINESTRING (-109.5523617 37.2848091,-109.525315 37.2805444)"
7,B3,23,Gate11,1.7013862268884878,0.0,"LINESTRING (-109.5523617 37.2848091,-109.537985 37.2746)"
7,B3,24,Gate12,0.9987453941241095,0.0,"LINESTRING (-109.5523617 37.2848091,-109.550655 37.2746)"
7,B3,25,Gate13,1.4454827982805827,0.0,"LINESTRING (-109.5523617 37.2848091,-109.563325 37.2746)"
7,B3,26,Gate14,2.484049026604259,0.0,"LINESTRING (-109.5523617 37.2848091,-109.575995 37.2746)"
8,B4,5,B1,2.75286890507265,0.8953771289537713,"LINESTRING (-109.5412776 37.2858769,-109.5697333 37.2838178)"
8,B4,6,B2,1.8152568683808337,1.7907542579075426,"LINESTRING (-109.5412776 37.2858769,-109.560079 37.2852198)"
8,B4,7,B3,1.074454435257828,1.7907542579075426,"LINESTRING (-109.5412776 37.2858769,-109.5523617 37.2848091)"
8,B4,8,B4,0.0,0.0,"LINESTRING (-109.5412776 37.2858769,-109.5412776 37.2858769)"
8,B4,9,C1,3.0461739806094834,1.7907542579075426,"LINESTRING (-109.5412776 37.2858769,-109.5724947 37.2811705)"
8,B4,10,C2,2.2968449354592195,2.686131386861314,"LINESTRING (-109.5412776 37.2858769,-109.5646803 37.2815244)"
